miRNA,FC_MT_vs_Con,MT_mean,Con_mean,KeyPathways_Total,항염증·면역조절_Npath,항염증·면역조절_예시KEGG,항산화·미토콘드리아/대사 항상성_Npath,항산화·미토콘드리아/대사 항상성_예시KEGG,혈관신생·내피기능/혈류반응_Npath,혈관신생·내피기능/혈류반응_예시KEGG,신장 섬유화·ECM/EMT 억제_Npath,신장 섬유화·ECM/EMT 억제_예시KEGG,심혈관 합병증/죽상동맥경화·심근보호_Npath,심혈관 합병증/죽상동맥경화·심근보호_예시KEGG,세포사멸·노화/손상 반응_Npath,세포사멸·노화/손상 반응_예시KEGG
hsa-miR-4516,10.9877950440943,10.73105,7.27322,58,19,Adipocytokine signaling pathway; Allograft rejection; Antigen processing and presentation; B cell receptor signaling pathway; Chemokine signaling pathway; Cytokine-cytokine receptor interaction,8,Autophagy - animal; Ferroptosis; FoxO signaling pathway; Glutathione metabolism; Mitophagy - animal; Peroxisome,10,Adherens junction; Endocytosis; Fluid shear stress and atherosclerosis; Focal adhesion; HIF-1 signaling pathway; Rap1 signaling pathway,7,Adherens junction; Cell adhesion molecules; Focal adhesion; Hippo signaling pathway; MAPK signaling pathway; PI3K-Akt signaling pathway,8,AGE-RAGE signaling pathway in diabetic complications; Adrenergic signaling in cardiomyocytes; Cardiac muscle contraction; Dilated cardiomyopathy; Fluid shear stress and atherosclerosis; Hypertrophic cardiomyopathy,6,Apoptosis; Cell cycle; Cellular senescence; Ferroptosis; Necroptosis; p53 signaling pathway
hsa-miR-4687-3p,10.2501989023603,9.48318,6.1256,23,5,Chemokine signaling pathway; Complement and coagulation cascades; Leukocyte transendothelial migration; NOD-like receptor signaling pathway; T cell receptor signaling pathway,1,mTOR signaling pathway,10,Adherens junction; Endocytosis; Fluid shear stress and atherosclerosis; Focal adhesion; Glycosphingolipid biosynthesis - lacto and neolacto series; Rap1 signaling pathway,4,Adherens junction; Focal adhesion; TGF-beta signaling pathway; Wnt signaling pathway,3,Fluid shear stress and atherosclerosis; Platelet activation; Vascular smooth muscle contraction,0,
hsa-miR-6763-5p,9.71335708947788,4.32057,1.0406,60,15,B cell receptor signaling pathway; Chemokine signaling pathway; Cytokine-cytokine receptor interaction; IL-17 signaling pathway; Inflammatory bowel disease; JAK-STAT signaling pathway,5,Autophagy - animal; Ferroptosis; FoxO signaling pathway; Thermogenesis; mTOR signaling pathway,15,Adherens junction; Apelin signaling pathway; Endocytosis; Fluid shear stress and atherosclerosis; Focal adhesion; Glycosphingolipid biosynthesis - ganglio series,9,Adherens junction; Cell adhesion molecules; Focal adhesion; Hippo signaling pathway; Hippo signaling pathway - multiple species; MAPK signaling pathway,12,AGE-RAGE signaling pathway in diabetic complications; Adrenergic signaling in cardiomyocytes; Aldosterone synthesis and secretion; Aldosterone-regulated sodium reabsorption; Cardiac muscle contraction; Cholesterol metabolism,4,Apoptosis; Cell cycle; Cellular senescence; Ferroptosis
hsa-mir-4281,9.58746894795645,6.33101,3.06986,0,0,,0,,0,,0,,0,,0,
hsa-miR-3196,9.39992991349608,10.13595,6.9033,14,2,Adipocytokine signaling pathway; Th17 cell differentiation,5,AMPK signaling pathway; Autophagy - animal; Autophagy - other; PPAR signaling pathway; Thermogenesis,1,Endocytosis,3,Cell adhesion molecules; MAPK signaling pathway; TGF-beta signaling pathway,2,Aldosterone synthesis and secretion; Cardiac muscle contraction,1,p53 signaling pathway
hsa-miR-6724-5p,8.82802062374263,10.17765,7.03556,7,4,Cytokine-cytokine receptor interaction; T cell receptor signaling pathway; Th1 and Th2 cell differentiation; Th17 cell differentiation,0,,2,Endocytosis; Glycosphingolipid biosynthesis - lacto and neolacto series,0,,1,Platelet activation,0,
hsa-miR-4749-5p,8.73150291530998,5.22514,2.09891,26,8,Antigen processing and presentation; B cell receptor signaling pathway; Chemokine signaling pathway; Complement and coagulation cascades; JAK-STAT signaling pathway; Leukocyte transendothelial migration,3,FoxO signaling pathway; Thermogenesis; mTOR signaling pathway,8,Apelin signaling pathway; Focal adhesion; HIF-1 signaling pathway; Rap1 signaling pathway; Regulation of actin cytoskeleton; Sphingolipid signaling pathway,4,Focal adhesion; MAPK signaling pathway; PI3K-Akt signaling pathway; TGF-beta signaling pathway,3,Adrenergic signaling in cardiomyocytes; Platelet activation; Renin secretion,0,
hsa-miR-4497,8.60872749250685,11.37229,8.26649,20,1,Th17 cell differentiation,0,,8,Endocytosis; Fluid shear stress and atherosclerosis; Focal adhesion; HIF-1 signaling pathway; Rap1 signaling pathway; Sphingolipid metabolism,5,Focal adhesion; Hippo signaling pathway; Hippo signaling pathway - multiple species; MAPK signaling pathway; PI3K-Akt signaling pathway,6,AGE-RAGE signaling pathway in diabetic complications; Adrenergic signaling in cardiomyocytes; Cardiac muscle contraction; Dilated cardiomyopathy; Fluid shear stress and atherosclerosis; Hypertrophic cardiomyopathy,0,
hsa-miR-371b-5p,8.33689404546085,4.37679,1.31728,63,14,Adipocytokine signaling pathway; Chemokine signaling pathway; Cytokine-cytokine receptor interaction; IL-17 signaling pathway; JAK-STAT signaling pathway; Leukocyte transendothelial migration,11,Autophagy - animal; Fatty acid degradation; Ferroptosis; FoxO signaling pathway; Glutathione metabolism; Mitophagy - animal,12,Adherens junction; Apelin signaling pathway; Endocytosis; Fluid shear stress and atherosclerosis; Focal adhesion; HIF-1 signaling pathway,8,Adherens junction; ECM-receptor interaction; Focal adhesion; Hippo signaling pathway; MAPK signaling pathway; PI3K-Akt signaling pathway,11,AGE-RAGE signaling pathway in diabetic complications; Adrenergic signaling in cardiomyocytes; Aldosterone synthesis and secretion; Aldosterone-regulated sodium reabsorption; Cardiac muscle contraction; Cholesterol metabolism,7,Apoptosis; Apoptosis - multiple species; Cell cycle; Cellular senescence; Ferroptosis; Necroptosis
hsa-miR-8069,8.10599901457433,12.14488,9.12589,32,2,Antigen processing and presentation; JAK-STAT signaling pathway,7,AMPK signaling pathway; Autophagy - animal; FoxO signaling pathway; Glutathione metabolism; Mitophagy - animal; Peroxisome,8,Apelin signaling pathway; Endocytosis; Fluid shear stress and atherosclerosis; Focal adhesion; Glycosphingolipid biosynthesis - globo and isoglobo series; Glycosphingolipid biosynthesis - lacto and neolacto series,5,Focal adhesion; Hippo signaling pathway; MAPK signaling pathway; PI3K-Akt signaling pathway; Wnt signaling pathway,6,AGE-RAGE signaling pathway in diabetic complications; Adrenergic signaling in cardiomyocytes; Cardiac muscle contraction; Dilated cardiomyopathy; Fluid shear stress and atherosclerosis; Hypertrophic cardiomyopathy,4,Cell cycle; Cellular senescence; Necroptosis; p53 signaling pathway
hsa-miR-3665,7.58726538109983,12.79158,9.868,47,10,B cell receptor signaling pathway; Chemokine signaling pathway; Complement and coagulation cascades; Cytokine-cytokine receptor interaction; Leukocyte transendothelial migration; NF-kappa B signaling pathway,5,Autophagy - animal; Fatty acid degradation; Mitophagy - animal; Thermogenesis; mTOR signaling pathway,10,Adherens junction; Endocytosis; Fluid shear stress and atherosclerosis; Focal adhesion; HIF-1 signaling pathway; Rap1 signaling pathway,8,Adherens junction; ECM-receptor interaction; Focal adhesion; Hippo signaling pathway; MAPK signaling pathway; PI3K-Akt signaling pathway,10,AGE-RAGE signaling pathway in diabetic complications; Adrenergic signaling in cardiomyocytes; Aldosterone synthesis and secretion; Cardiac muscle contraction; Dilated cardiomyopathy; Fluid shear stress and atherosclerosis,4,Apoptosis; Cell cycle; Necroptosis; p53 signaling pathway
hsa-miR-6125,7.50993280860639,11.85066,8.94186,8,4,Chemokine signaling pathway; Cytokine-cytokine receptor interaction; IL-17 signaling pathway; Th1 and Th2 cell differentiation,0,,2,Apelin signaling pathway; Fluid shear stress and atherosclerosis,1,PI3K-Akt signaling pathway,1,Fluid shear stress and atherosclerosis,0,
hsa-miR-6085,7.12583955402676,7.04105,4.20799,42,11,B cell receptor signaling pathway; Chemokine signaling pathway; IL-17 signaling pathway; JAK-STAT signaling pathway; NOD-like receptor signaling pathway; Natural killer cell mediated cytotoxicity,4,Autophagy - animal; FoxO signaling pathway; Mitophagy - animal; mTOR signaling pathway,11,Adherens junction; Apelin signaling pathway; Endocytosis; Focal adhesion; HIF-1 signaling pathway; Rap1 signaling pathway,7,Adherens junction; Focal adhesion; Hippo signaling pathway; Hippo signaling pathway - multiple species; MAPK signaling pathway; PI3K-Akt signaling pathway,6,AGE-RAGE signaling pathway in diabetic complications; Adrenergic signaling in cardiomyocytes; Aldosterone-regulated sodium reabsorption; Cholesterol metabolism; Platelet activation; Vascular smooth muscle contraction,3,Apoptosis; Cell cycle; Cellular senescence
hsa-miR-6786-5p,7.06230926783987,9.5645,6.74436,2,1,IL-17 signaling pathway,0,,0,,1,Wnt signaling pathway,0,,0,
hsa-miR-6799-5p,6.94666246898018,4.68512,1.8888,68,16,Adipocytokine signaling pathway; Chemokine signaling pathway; Complement and coagulation cascades; Cytokine-cytokine receptor interaction; IL-17 signaling pathway; JAK-STAT signaling pathway,13,AMPK signaling pathway; Autophagy - animal; Autophagy - other; Fatty acid degradation; Ferroptosis; FoxO signaling pathway,12,Adherens junction; Apelin signaling pathway; Endocytosis; Fluid shear stress and atherosclerosis; Focal adhesion; Glycosphingolipid biosynthesis - globo and isoglobo series,10,Adherens junction; Cell adhesion molecules; ECM-receptor interaction; Focal adhesion; Hippo signaling pathway; Hippo signaling pathway - multiple species,11,AGE-RAGE signaling pathway in diabetic complications; Adrenergic signaling in cardiomyocytes; Aldosterone synthesis and secretion; Aldosterone-regulated sodium reabsorption; Cardiac muscle contraction; Dilated cardiomyopathy,6,Apoptosis; Cell cycle; Cellular senescence; Ferroptosis; Necroptosis; p53 signaling pathway
hsa-miR-2861,6.40363021423114,11.0218,8.34291,24,3,Chemokine signaling pathway; NOD-like receptor signaling pathway; TNF signaling pathway,4,AMPK signaling pathway; Oxidative phosphorylation; PPAR signaling pathway; Thermogenesis,7,Adherens junction; Endocytosis; Focal adhesion; Rap1 signaling pathway; Sphingolipid metabolism; Tight junction,5,Adherens junction; ECM-receptor interaction; Focal adhesion; Hippo signaling pathway; PI3K-Akt signaling pathway,2,Adrenergic signaling in cardiomyocytes; Aldosterone synthesis and secretion,3,Apoptosis; Apoptosis - multiple species; p53 signaling pathway
hsa-miR-4466,6.02324106375161,11.83496,9.24442,13,1,Complement and coagulation cascades,2,AMPK signaling pathway; PPAR signaling pathway,3,Rap1 signaling pathway; Regulation of actin cytoskeleton; cGMP-PKG signaling pathway,1,PI3K-Akt signaling pathway,5,Adrenergic signaling in cardiomyocytes; Aldosterone synthesis and secretion; Aldosterone-regulated sodium reabsorption; Cardiac muscle contraction; Platelet activation,1,Cell cycle
hsa-mir-4466,6.01439657947455,5.25312,2.6647,0,0,,0,,0,,0,,0,,0,
hsa-miR-6090,5.97136186998241,12.45666,9.8786,31,9,B cell receptor signaling pathway; Chemokine signaling pathway; Cytokine-cytokine receptor interaction; JAK-STAT signaling pathway; Leukocyte transendothelial migration; Natural killer cell mediated cytotoxicity,0,,7,Apelin signaling pathway; Endocytosis; Focal adhesion; Rap1 signaling pathway; Regulation of actin cytoskeleton; Sphingolipid signaling pathway,8,Cell adhesion molecules; ECM-receptor interaction; Focal adhesion; Hippo signaling pathway; Hippo signaling pathway - multiple species; MAPK signaling pathway,4,AGE-RAGE signaling pathway in diabetic complications; Adrenergic signaling in cardiomyocytes; Platelet activation; Renin secretion,3,Apoptosis; Apoptosis - multiple species; p53 signaling pathway
hsa-miR-1469,5.8972812498163,9.59561,7.03556,4,1,JAK-STAT signaling pathway,0,,1,Tight junction,1,PI3K-Akt signaling pathway,0,,1,Apoptosis
hsa-miR-6089,5.70789976409245,12.53654,10.02358,37,9,Adipocytokine signaling pathway; Chemokine signaling pathway; Complement and coagulation cascades; Cytokine-cytokine receptor interaction; JAK-STAT signaling pathway; NF-kappa B signaling pathway,6,Autophagy - animal; Fatty acid degradation; FoxO signaling pathway; PPAR signaling pathway; Thermogenesis; mTOR signaling pathway,7,Apelin signaling pathway; Endocytosis; Fluid shear stress and atherosclerosis; Focal adhesion; HIF-1 signaling pathway; Rap1 signaling pathway,6,ECM-receptor interaction; Focal adhesion; Hippo signaling pathway; Hippo signaling pathway - multiple species; MAPK signaling pathway; PI3K-Akt signaling pathway,4,Dilated cardiomyopathy; Fluid shear stress and atherosclerosis; Hypertrophic cardiomyopathy; Platelet activation,5,Apoptosis; Apoptosis - multiple species; Cell cycle; Cellular senescence; p53 signaling pathway
hsa-miR-3960,5.69083361704929,12.62445,10.11581,27,9,Adipocytokine signaling pathway; B cell receptor signaling pathway; Chemokine signaling pathway; JAK-STAT signaling pathway; Leukocyte transendothelial migration; NF-kappa B signaling pathway,3,Oxidative phosphorylation; PPAR signaling pathway; Thermogenesis,8,Apelin signaling pathway; Fluid shear stress and atherosclerosis; Focal adhesion; Rap1 signaling pathway; Regulation of actin cytoskeleton; Sphingolipid signaling pathway,3,Focal adhesion; MAPK signaling pathway; TGF-beta signaling pathway,4,Adrenergic signaling in cardiomyocytes; Fluid shear stress and atherosclerosis; Platelet activation; Renin secretion,0,
hsa-miR-4429,5.63228368112936,3.84921,1.35549,15,1,Chemokine signaling pathway,5,AMPK signaling pathway; Autophagy - animal; Mitophagy - animal; Thermogenesis; mTOR signaling pathway,4,Endocytosis; Focal adhesion; Rap1 signaling pathway; Regulation of actin cytoskeleton,4,Focal adhesion; Hippo signaling pathway; MAPK signaling pathway; PI3K-Akt signaling pathway,0,,1,p53 signaling pathway
hsa-miR-3656,5.60001231574635,9.54465,7.05922,21,3,Adipocytokine signaling pathway; Chemokine signaling pathway; NOD-like receptor signaling pathway,7,AMPK signaling pathway; Autophagy - animal; Autophagy - other; Fatty acid degradation; Mitophagy - animal; PPAR signaling pathway,3,Apelin signaling pathway; Rap1 signaling pathway; cGMP-PKG signaling pathway,1,PI3K-Akt signaling pathway,7,Adrenergic signaling in cardiomyocytes; Aldosterone synthesis and secretion; Cardiac muscle contraction; Dilated cardiomyopathy; Hypertrophic cardiomyopathy; Platelet activation,0,
hsa-miR-4486,5.55778490093122,6.6825,4.20799,42,5,Chemokine signaling pathway; Complement and coagulation cascades; Cytokine-cytokine receptor interaction; Leukocyte transendothelial migration; Natural killer cell mediated cytotoxicity,5,Fatty acid degradation; FoxO signaling pathway; PPAR signaling pathway; Peroxisome; mTOR signaling pathway,11,Adherens junction; Endocytosis; Fluid shear stress and atherosclerosis; Focal adhesion; Glycosphingolipid biosynthesis - globo and isoglobo series; Glycosphingolipid biosynthesis - lacto and neolacto series,9,Adherens junction; Cell adhesion molecules; Focal adhesion; Hippo signaling pathway; Hippo signaling pathway - multiple species; MAPK signaling pathway,9,AGE-RAGE signaling pathway in diabetic complications; Adrenergic signaling in cardiomyocytes; Aldosterone synthesis and secretion; Aldosterone-regulated sodium reabsorption; Cholesterol metabolism; Fluid shear stress and atherosclerosis,3,Cell cycle; Cellular senescence; p53 signaling pathway
hsa-miR-4539,5.36973167993998,3.99596,1.57111,40,9,B cell receptor signaling pathway; Chemokine signaling pathway; Complement and coagulation cascades; Cytokine-cytokine receptor interaction; Leukocyte transendothelial migration; NOD-like receptor signaling pathway,5,AMPK signaling pathway; Autophagy - animal; FoxO signaling pathway; Thermogenesis; mTOR signaling pathway,9,Adherens junction; Apelin signaling pathway; Endocytosis; Focal adhesion; HIF-1 signaling pathway; Rap1 signaling pathway,7,Adherens junction; ECM-receptor interaction; Focal adhesion; Hippo signaling pathway; MAPK signaling pathway; PI3K-Akt signaling pathway,8,Adrenergic signaling in cardiomyocytes; Aldosterone synthesis and secretion; Cholesterol metabolism; Dilated cardiomyopathy; Hypertrophic cardiomyopathy; Platelet activation,2,Apoptosis; Necroptosis
hsa-miR-1237-5p,5.21880682011442,10.01079,7.62707,25,6,Adipocytokine signaling pathway; Antigen processing and presentation; Chemokine signaling pathway; Leukocyte transendothelial migration; Th1 and Th2 cell differentiation; Th17 cell differentiation,7,AMPK signaling pathway; Autophagy - animal; Autophagy - other; Ferroptosis; Oxidative phosphorylation; PPAR signaling pathway,6,Apelin signaling pathway; Endocytosis; Regulation of actin cytoskeleton; Sphingolipid metabolism; Sphingolipid signaling pathway; Tight junction,3,MAPK signaling pathway; PI3K-Akt signaling pathway; TGF-beta signaling pathway,1,Vascular smooth muscle contraction,2,Ferroptosis; p53 signaling pathway
hsa-miR-1915-3p,5.20042669054646,11.36642,8.98779,49,12,Adipocytokine signaling pathway; Chemokine signaling pathway; Cytokine-cytokine receptor interaction; JAK-STAT signaling pathway; Leukocyte transendothelial migration; NF-kappa B signaling pathway,8,Autophagy - animal; Fatty acid degradation; Ferroptosis; Glutathione metabolism; Oxidative phosphorylation; PPAR signaling pathway,11,Adherens junction; Endocytosis; Fluid shear stress and atherosclerosis; Focal adhesion; HIF-1 signaling pathway; Rap1 signaling pathway,8,Adherens junction; Cell adhesion molecules; Focal adhesion; Hippo signaling pathway; MAPK signaling pathway; PI3K-Akt signaling pathway,5,AGE-RAGE signaling pathway in diabetic complications; Adrenergic signaling in cardiomyocytes; Cholesterol metabolism; Fluid shear stress and atherosclerosis; Vascular smooth muscle contraction,5,Apoptosis; Apoptosis - multiple species; Ferroptosis; Necroptosis; p53 signaling pathway
hsa-miR-6869-5p,5.20017437039096,11.63285,9.25429,54,13,Allograft rejection; B cell receptor signaling pathway; Chemokine signaling pathway; Cytokine-cytokine receptor interaction; IL-17 signaling pathway; NF-kappa B signaling pathway,10,AMPK signaling pathway; Autophagy - animal; Autophagy - other; FoxO signaling pathway; Mitophagy - animal; Oxidative phosphorylation,12,Adherens junction; Apelin signaling pathway; Endocytosis; Focal adhesion; HIF-1 signaling pathway; Rap1 signaling pathway,8,Adherens junction; Cell adhesion molecules; Focal adhesion; Hippo signaling pathway; MAPK signaling pathway; PI3K-Akt signaling pathway,7,AGE-RAGE signaling pathway in diabetic complications; Adrenergic signaling in cardiomyocytes; Aldosterone-regulated sodium reabsorption; Cardiac muscle contraction; Cholesterol metabolism; Platelet activation,4,Apoptosis; Cell cycle; Cellular senescence; p53 signaling pathway
hsa-miR-4763-3p,4.76319628012793,8.99629,6.74436,54,12,Antigen processing and presentation; B cell receptor signaling pathway; Chemokine signaling pathway; Complement and coagulation cascades; Cytokine-cytokine receptor interaction; JAK-STAT signaling pathway,6,Autophagy - animal; Ferroptosis; Glutathione metabolism; Mitophagy - animal; Oxidative phosphorylation; mTOR signaling pathway,12,Adherens junction; Apelin signaling pathway; Endocytosis; Fluid shear stress and atherosclerosis; Focal adhesion; Glycosphingolipid biosynthesis - lacto and neolacto series,9,Adherens junction; Cell adhesion molecules; Focal adhesion; Hippo signaling pathway; Hippo signaling pathway - multiple species; MAPK signaling pathway,8,AGE-RAGE signaling pathway in diabetic complications; Adrenergic signaling in cardiomyocytes; Aldosterone synthesis and secretion; Cholesterol metabolism; Fluid shear stress and atherosclerosis; Platelet activation,7,Apoptosis; Apoptosis - multiple species; Cell cycle; Cellular senescence; Ferroptosis; Necroptosis
hsa-miR-8072,4.61269531375107,9.43025,7.22464,27,9,Adipocytokine signaling pathway; B cell receptor signaling pathway; Chemokine signaling pathway; JAK-STAT signaling pathway; Leukocyte transendothelial migration; NF-kappa B signaling pathway,3,Oxidative phosphorylation; PPAR signaling pathway; Thermogenesis,8,Apelin signaling pathway; Fluid shear stress and atherosclerosis; Focal adhesion; Rap1 signaling pathway; Regulation of actin cytoskeleton; Sphingolipid signaling pathway,3,Focal adhesion; MAPK signaling pathway; TGF-beta signaling pathway,4,Adrenergic signaling in cardiomyocytes; Fluid shear stress and atherosclerosis; Platelet activation; Renin secretion,0,
hsa-miR-6879-5p,4.59495266615287,3.8623,1.66225,29,4,Complement and coagulation cascades; IL-17 signaling pathway; Leukocyte transendothelial migration; NOD-like receptor signaling pathway,5,Autophagy - animal; FoxO signaling pathway; Oxidative phosphorylation; Peroxisome; mTOR signaling pathway,6,Adherens junction; Endocytosis; Fluid shear stress and atherosclerosis; HIF-1 signaling pathway; Tight junction; cGMP-PKG signaling pathway,6,Adherens junction; Cell adhesion molecules; Hippo signaling pathway; PI3K-Akt signaling pathway; TGF-beta signaling pathway; Wnt signaling pathway,6,AGE-RAGE signaling pathway in diabetic complications; Adrenergic signaling in cardiomyocytes; Aldosterone synthesis and secretion; Aldosterone-regulated sodium reabsorption; Cardiac muscle contraction; Fluid shear stress and atherosclerosis,2,Apoptosis; Cell cycle
hsa-miR-1228-5p,4.58578907762858,8.32277,6.1256,18,6,Cytokine-cytokine receptor interaction; JAK-STAT signaling pathway; Leukocyte transendothelial migration; NOD-like receptor signaling pathway; Natural killer cell mediated cytotoxicity; Toll-like receptor signaling pathway,1,Thermogenesis,2,Endocytosis; cGMP-PKG signaling pathway,2,Hippo signaling pathway; PI3K-Akt signaling pathway,3,Aldosterone synthesis and secretion; Renin secretion; Vascular smooth muscle contraction,4,Apoptosis; Apoptosis - multiple species; Necroptosis; p53 signaling pathway
hsa-mir-5703,4.07223268917232,3.73369,1.70787,0,0,,0,,0,,0,,0,,0,
hsa-miR-6727-5p,4.06123919431388,10.67682,8.6549,14,0,,4,AMPK signaling pathway; Autophagy - animal; FoxO signaling pathway; mTOR signaling pathway,6,Adherens junction; Endocytosis; Focal adhesion; HIF-1 signaling pathway; Rap1 signaling pathway; Regulation of actin cytoskeleton,4,Adherens junction; Focal adhesion; MAPK signaling pathway; PI3K-Akt signaling pathway,0,,0,
hsa-miR-4488,4.04544946351402,10.42436,8.40806,25,6,Adipocytokine signaling pathway; Antigen processing and presentation; Chemokine signaling pathway; Leukocyte transendothelial migration; Th1 and Th2 cell differentiation; Th17 cell differentiation,7,AMPK signaling pathway; Autophagy - animal; Autophagy - other; Ferroptosis; Oxidative phosphorylation; PPAR signaling pathway,6,Apelin signaling pathway; Endocytosis; Regulation of actin cytoskeleton; Sphingolipid metabolism; Sphingolipid signaling pathway; Tight junction,3,MAPK signaling pathway; PI3K-Akt signaling pathway; TGF-beta signaling pathway,1,Vascular smooth muscle contraction,2,Ferroptosis; p53 signaling pathway
hsa-miR-762,3.76335660089388,9.99103,8.07901,44,8,Allograft rejection; Antigen processing and presentation; B cell receptor signaling pathway; Chemokine signaling pathway; Complement and coagulation cascades; Leukocyte transendothelial migration,7,Ferroptosis; FoxO signaling pathway; Glutathione metabolism; Oxidative phosphorylation; PPAR signaling pathway; Peroxisome,9,Adherens junction; Endocytosis; Fluid shear stress and atherosclerosis; Focal adhesion; HIF-1 signaling pathway; Rap1 signaling pathway,7,Adherens junction; Cell adhesion molecules; Focal adhesion; Hippo signaling pathway; Hippo signaling pathway - multiple species; MAPK signaling pathway,9,Adrenergic signaling in cardiomyocytes; Aldosterone synthesis and secretion; Cardiac muscle contraction; Dilated cardiomyopathy; Fluid shear stress and atherosclerosis; Hypertrophic cardiomyopathy,4,Cell cycle; Cellular senescence; Ferroptosis; p53 signaling pathway
hsa-miR-7704,3.54906746705357,11.32766,9.50022,17,11,Allograft rejection; Antigen processing and presentation; Cytokine-cytokine receptor interaction; Inflammatory bowel disease; JAK-STAT signaling pathway; Leukocyte transendothelial migration,0,,2,Rap1 signaling pathway; Regulation of actin cytoskeleton,3,Cell adhesion molecules; MAPK signaling pathway; PI3K-Akt signaling pathway,0,,1,Necroptosis
hsa-miR-6729-5p,3.49085395285085,11.17902,9.37544,23,7,Complement and coagulation cascades; Cytokine-cytokine receptor interaction; JAK-STAT signaling pathway; Leukocyte transendothelial migration; NOD-like receptor signaling pathway; Natural killer cell mediated cytotoxicity,4,Fatty acid degradation; FoxO signaling pathway; PPAR signaling pathway; Peroxisome,4,Endocytosis; Glycosphingolipid biosynthesis - globo and isoglobo series; Glycosphingolipid biosynthesis - lacto and neolacto series; Tight junction,3,Hippo signaling pathway; Hippo signaling pathway - multiple species; PI3K-Akt signaling pathway,1,Cholesterol metabolism,4,Cell cycle; Cellular senescence; Necroptosis; p53 signaling pathway
hsa-miR-4787-5p,3.41527085756498,11.63157,9.85957,8,0,,0,,5,Adherens junction; Endocytosis; Focal adhesion; HIF-1 signaling pathway; Regulation of actin cytoskeleton,3,Adherens junction; Cell adhesion molecules; Focal adhesion,0,,0,
hsa-miR-6776-5p,3.15290128277743,2.92467,1.26799,40,5,Chemokine signaling pathway; Complement and coagulation cascades; NF-kappa B signaling pathway; NOD-like receptor signaling pathway; TNF signaling pathway,10,AMPK signaling pathway; Autophagy - animal; Fatty acid degradation; Ferroptosis; Glutathione metabolism; Mitophagy - animal,10,Apelin signaling pathway; Endocytosis; Focal adhesion; Glycosphingolipid biosynthesis - ganglio series; HIF-1 signaling pathway; Rap1 signaling pathway,4,Focal adhesion; Hippo signaling pathway; MAPK signaling pathway; PI3K-Akt signaling pathway,6,Adrenergic signaling in cardiomyocytes; Cardiac muscle contraction; Dilated cardiomyopathy; Hypertrophic cardiomyopathy; Platelet activation; Vascular smooth muscle contraction,5,Apoptosis; Apoptosis - multiple species; Ferroptosis; Necroptosis; p53 signaling pathway
hsa-miR-6088,3.13479260759554,10.72783,9.07946,54,16,Antigen processing and presentation; B cell receptor signaling pathway; Chemokine signaling pathway; Complement and coagulation cascades; Cytokine-cytokine receptor interaction; IL-17 signaling pathway,6,AMPK signaling pathway; Autophagy - animal; Fatty acid degradation; FoxO signaling pathway; Thermogenesis; mTOR signaling pathway,12,Adherens junction; Apelin signaling pathway; Endocytosis; Fluid shear stress and atherosclerosis; Focal adhesion; HIF-1 signaling pathway,6,Adherens junction; Focal adhesion; Hippo signaling pathway; MAPK signaling pathway; PI3K-Akt signaling pathway; TGF-beta signaling pathway,8,AGE-RAGE signaling pathway in diabetic complications; Adrenergic signaling in cardiomyocytes; Aldosterone synthesis and secretion; Aldosterone-regulated sodium reabsorption; Fluid shear stress and atherosclerosis; Platelet activation,6,Apoptosis; Apoptosis - multiple species; Cell cycle; Cellular senescence; Necroptosis; p53 signaling pathway
hsa-miR-4530,3.10344375587197,7.75947,6.1256,48,14,Adipocytokine signaling pathway; Antigen processing and presentation; B cell receptor signaling pathway; Complement and coagulation cascades; Cytokine-cytokine receptor interaction; IL-17 signaling pathway,5,FoxO signaling pathway; Mitophagy - animal; Oxidative phosphorylation; Peroxisome; mTOR signaling pathway,10,Adherens junction; Apelin signaling pathway; Fluid shear stress and atherosclerosis; Focal adhesion; Glycosphingolipid biosynthesis - lacto and neolacto series; Rap1 signaling pathway,9,Adherens junction; Cell adhesion molecules; Focal adhesion; Hippo signaling pathway; Hippo signaling pathway - multiple species; MAPK signaling pathway,6,Adrenergic signaling in cardiomyocytes; Aldosterone synthesis and secretion; Fluid shear stress and atherosclerosis; Platelet activation; Renin secretion; Vascular smooth muscle contraction,4,Apoptosis; Cell cycle; Cellular senescence; Necroptosis
hsa-miR-4507,2.92350690741727,6.31778,4.77008,8,3,Antigen processing and presentation; Complement and coagulation cascades; NOD-like receptor signaling pathway,0,,1,Endocytosis,0,,0,,4,Apoptosis; Apoptosis - multiple species; Cellular senescence; Necroptosis
hsa-mir-3960,2.81274740659727,3.09813,1.60615,0,0,,0,,0,,0,,0,,0,
hsa-miR-4463,2.76145764567732,7.82773,6.3623,23,5,Antigen processing and presentation; Cytokine-cytokine receptor interaction; JAK-STAT signaling pathway; Natural killer cell mediated cytotoxicity; Th17 cell differentiation,6,Autophagy - animal; FoxO signaling pathway; Glutathione metabolism; Mitophagy - animal; Oxidative phosphorylation; Thermogenesis,4,Endocytosis; Fluid shear stress and atherosclerosis; Focal adhesion; HIF-1 signaling pathway,4,Focal adhesion; Hippo signaling pathway; PI3K-Akt signaling pathway; TGF-beta signaling pathway,3,AGE-RAGE signaling pathway in diabetic complications; Cardiac muscle contraction; Fluid shear stress and atherosclerosis,1,Cell cycle
